   H I           ,	3970.078
  Ti I  	,	4186.118
  Ti I  	,	4203.459
  Ti I  	,	4211.721
  Ti I  	,	4224.786
  Ti I  	,	4234.648
  Ti I  	,	4237.770
  Ti I  	,	4237.888
  Ti I  	,	4245.506
  Ti I  	,	4249.112
  Ti I  	,	4251.602
  Ti I  	,	4251.756
  Ti I  	,	4256.026
  Ti I  	,	4258.525
  Ti I  	,	4261.590
  Ti I  	,	4263.134
  Ti I  	,	4265.703
  Ti I  	,	4266.209
  Ti I  	,	4268.916
  Ti I  	,	4270.126
  Ti I  	,	4272.424
  Ti I  	,	4274.382
  Ti I  	,	4274.588
  Ti I  	,	4276.427
  Ti I  	,	4278.220
  Ti I  	,	4278.788
  Ti I  	,	4281.364
  Ti I  	,	4282.699
  Ti I  	,	4284.981
  Ti I  	,	4286.004
  Ti I  	,	4287.403
  Ti I  	,	4288.146
  Ti I  	,	4288.368
  Ti I  	,	4289.070
  Ti I  	,	4290.929
  Ti I  	,	4292.668
  Ti I  	,	4295.749
  Ti I  	,	4298.666
  Ti I  	,	4299.203
  Ti I  	,	4299.629
  Ti I  	,	4300.554
  Ti I  	,	4301.079
  Ti I  	,	4305.908
  Ti I  	,	4308.500
  Ti I  	,	4309.088
  Ti I  	,	4310.359
  Ti I  	,	4311.645
  Ti I  	,	4314.344
  Ti I  	,	4314.729
  Ti I  	,	4314.800
  Ti I  	,	4318.629
  Ti I  	,	4321.654
  Ti I  	,	4322.115
  Ti I  	,	4323.432
  Ti I  	,	4325.126
  Ti I  	,	4326.351
  Ti I  	,	4326.960
  Ti I  	,	4334.828
  Ti I  	,	4338.465
  Ti I  	,	4339.996
  Ti I  	,	4346.103
  Ti I  	,	4354.054
  Ti I  	,	4360.482
  Ti I  	,	4361.142
  Ti I  	,	4368.934
  Ti I  	,	4372.376
  Ti I  	,	4388.540
  Ti I  	,	4393.922
  Ti I  	,	4394.875
  Ti I  	,	4404.274
  Ti I  	,	4404.389
  Ti I  	,	4405.680
  Ti I  	,	4412.421
  Ti I  	,	4414.096
  Ti I  	,	4416.531
  Ti I  	,	4417.274
  Ti I  	,	4421.451
  Ti I  	,	4421.752
  Ti I  	,	4422.820
  Ti I  	,	4424.384
  Ti I  	,	4425.824
  Ti I  	,	4426.055
  Ti I  	,	4427.099
  Ti I  	,	4430.017
  Ti I  	,	4430.364
  Ti I  	,	4431.276
  Ti I  	,	4433.567
  Ti I  	,	4434.018
  Ti I  	,	4436.586
  Ti I  	,	4436.675
  Ti I  	,	4438.222
  Ti I  	,	4440.338
  Ti I  	,	4441.267
  Ti I  	,	4444.258
  Ti I  	,	4449.143
  Ti I  	,	4449.974
  Ti I  	,	4450.894
  Ti I  	,	4453.313
  Ti I  	,	4453.699
  Ti I  	,	4453.851
  Ti I  	,	4455.317
  Ti I  	,	4457.426
  Ti I  	,	4462.088
  Ti I  	,	4462.747
  Ti I  	,	4463.380
  Ti I  	,	4463.533
  Ti I  	,	4465.806
  Ti I  	,	4471.237
  Ti I  	,	4474.851
  Ti I  	,	4475.171
  Ti I  	,	4475.499
  Ti I  	,	4476.594
  Ti I  	,	4478.401
  Ti I  	,	4479.701
  Ti I  	,	4480.588
  Ti I  	,	4481.259
  Ti I  	,	4485.076
  Ti I  	,	4488.249
  Ti I  	,	4489.087
  Ti I  	,	4492.532
  Ti I  	,	4495.009
  Ti I  	,	4496.145
  Ti I  	,	4496.234
  Ti I  	,	4497.721
  Ti I  	,	4503.756
  Ti I  	,	4505.707
  Ti I  	,	4508.048
  Ti I  	,	4511.170
  Ti I  	,	4512.733
  Ti I  	,	4513.714
  Ti I  	,	4515.613
  Ti I  	,	4518.022
  Ti I  	,	4518.688
  Ti I  	,	4522.797
  Ti I  	,	4527.305
  Ti I  	,	4532.117
  Ti I  	,	4533.240
  Ti I  	,	4534.776
  Ti I  	,	4535.568
  Ti I  	,	4535.918
  Ti I  	,	4536.040
  Ti I  	,	4537.228
  Ti I  	,	4539.097
  Ti I  	,	4540.494
  Ti I  	,	4540.865
  Ti I  	,	4544.687
  Ti I  	,	4548.110
  Ti I  	,	4548.763
  Ti I  	,	4552.453
  Ti I  	,	4553.398
  Ti I  	,	4555.069
  Ti I  	,	4555.484
  Ti I  	,	4557.854
  Ti I  	,	4558.110
  Ti I  	,	4559.918
  Ti I  	,	4562.626
  Ti I  	,	4563.423
  Ti I  	,	4564.213
  Ti I  	,	4570.902
  Ti I  	,	4599.230
  Ti I  	,	4617.268
  Ti I  	,	4623.097
  Ti I  	,	4629.336
  Ti I  	,	4634.742
  Ti I  	,	4634.870
  Ti I  	,	4635.547
  Ti I  	,	4637.869
  Ti I  	,	4639.361
  Ti I  	,	4639.661
  Ti I  	,	4639.940
  Ti I  	,	4640.415
  Ti I  	,	4645.189
  Ti I  	,	4650.010
  Ti I  	,	4655.687
  Ti I  	,	4656.042
  Ti I  	,	4656.468
  Ti I  	,	4667.584
  Ti I  	,	4668.345
  Ti I  	,	4675.117
  Ti I  	,	4676.528
  Ti I  	,	4677.485
  Ti I  	,	4679.706
  Ti I  	,	4681.908
  Ti I  	,	4684.507
  Ti I  	,	4686.905
  Ti I  	,	4690.794
  Ti I  	,	4691.332
  Ti I  	,	4692.431
  Ti I  	,	4693.664
  Ti I  	,	4696.931
  Ti I  	,	4698.760
  Ti I  	,	4710.187
  Ti I  	,	4711.679
  Ti I  	,	4715.300
  Ti I  	,	4722.606
  Ti I  	,	4723.162
  Ti I  	,	4724.663
  Ti I  	,	4731.165
  Ti I  	,	4733.421
  Ti I  	,	4734.670
  Ti I  	,	4742.108
  Ti I  	,	4742.789
  Ti I  	,	4747.261
  Ti I  	,	4747.673
  Ti I  	,	4758.112
  Ti I  	,	4758.899
  Ti I  	,	4759.269
  Ti I  	,	4766.317
  Ti I  	,	4769.767
  Ti I  	,	4771.096
  Ti I  	,	4778.255
  Ti I  	,	4781.711
  Ti I  	,	4787.635
  Ti I  	,	4789.789
  Ti I  	,	4792.483
  Ti I  	,	4796.211
  Ti I  	,	4797.975
  Ti I  	,	4799.795
  Ti I  	,	4801.908
  Ti I  	,	4805.415
  Ti I  	,	4806.758
  Ti I  	,	4808.525
  Ti I  	,	4811.065
  Ti I  	,	4812.229
  Ti I  	,	4812.892
  Ti I  	,	4819.028
  Ti I  	,	4820.411
  Ti I  	,	4821.272
  Ti I  	,	4825.439
  Ti I  	,	4826.044
  Ti I  	,	4827.572
  Ti I  	,	4832.068
