line number   order_number   physical_order_number     pixel       air_ref_wl[A]   vac_ref_wl[A] 
   145              7                  71            662.982779     8687.847928     8690.234153 
   146              7                  71            908.489893     8678.407764     8680.791414 
   147              7                  71           1613.153716     8649.148977     8651.524733 
   148              7                  71           1699.271990     8645.308606     8647.683324 
   149              7                  71           1828.452803     8639.441589     8641.814720 
   150              7                  71           1851.912662     8638.362204     8640.735043 
   151              7                  71           2002.049007     8631.356458     8633.727402 
   152              7                  71           2048.689807     8629.141440     8631.511785 
   153              7                  71           2158.000000     8623.801422     8626.170322 
   154              7                  71           2210.717900     8621.322470     8623.690700 
   155              7                  71           2233.782512     8620.459617     8622.827596 
   156              7                  71           2314.142851     8616.221875     8618.588726 
   157              7                  71           2522.039606     8605.775647     8608.139655 
   158              7                  71           2550.078037     8604.016589     8606.380139 
   159              7                  71           2636.713666     8599.755287     8602.117683 
   160              7                  71           2762.363660     8593.108838     8595.469436 
   161              7                  71           2786.064540     8591.838671     8594.198926 
   162              7                  71           3051.666043     8577.276762     8579.633078 
   163              7                  71           3086.433481     8575.330448     8577.686239 
   164              7                  71           3125.512143     8573.120489     8575.475681 
   165              7                  71           3211.656030     8568.208713     8570.562577 
   166              7                  71           3379.484532     8558.446353     8560.797577 
   167              7                  71           3438.332990     8554.943992     8557.294268 
   168              7                  71           3687.494926     8539.792910     8542.139090 
   169              8                  72            379.032929     8577.276762     8579.633078 
   170              8                  72            497.327768     8573.120489     8575.475681 
   171              8                  72            633.689832     8568.208713     8570.562577 
   172              8                  72            894.391909     8558.446353     8560.797577 
   173              8                  72            984.743482     8554.943992     8557.294268 
   174              8                  72           1359.794381     8539.792910     8542.139090 
   175              8                  72           1891.123239     8516.554190     8518.894085 
   176              8                  72           2019.359783     8510.623937     8512.962228 
   177              8                  72           2436.410912     8490.305885     8492.638674 
   178              8                  72           2798.047183     8471.825985     8474.153784 
   179              8                  72           2913.189515     8465.670502     8467.996638 
   180              8                  72           2939.573818     8464.236635     8466.562383 
   181              8                  72           3258.147199     8446.511509     8448.832464 
   182              8                  72           3276.064300     8445.486996     8447.807674 
   183              8                  72           3686.024256     8421.225355     8423.539473 
   184              8                  72           3738.541420     8417.998115     8420.311361 
   185              8                  72           3759.114089     8416.726817     8419.039719 
   186              9                  73            202.540965     8465.670502     8467.996638 
   187              9                  73            245.778020     8464.236635     8466.562383 
   188              9                  73            751.262714     8446.511509     8448.832464 
   189              9                  73            778.981059     8445.486996     8447.807674 
   190              9                  73           1474.495485     8417.998115     8420.311361 
   191              9                  73           1504.651504     8416.726817     8419.039719 
   192              9                  73           1842.606817     8401.988977     8404.297894 
   193              9                  73           2136.623036     8388.536224     8390.841504 
   194              9                  73           2167.029996     8387.105285     8389.410178 
   195              9                  73           2196.055151     8385.727941     8388.032462 
   196              9                  73           2212.584621     8384.723465     8387.027714 
   197              9                  73           2320.466976     8379.767834     8382.070744 
   198              9                  73           2331.662164     8379.226037     8381.528800 
   199              9                  73           2570.763440     8367.393599     8369.693164 
   200              9                  73           2596.494336     8366.074039     8368.373246 
   201              9                  73           2653.442983     8363.069556     8365.367952 
   202              9                  73           2740.402120     8358.725940     8361.023161 
   203              9                  73           2791.461369     8356.069227     8358.365733 
   204              9                  73           3169.509290     8335.706611     8337.997609 
   205              9                  73           3263.510080     8330.449354     8332.738931 
   206              9                  73           3431.479047     8320.855356     8323.142339 
   207              9                  73           3588.792721     8311.630590     8313.915076 
   208             10                  74            657.762144     8335.706611     8337.997609 
   209             10                  74            802.923765     8330.449354     8332.738931 
   210             10                  74           1058.061942     8320.855356     8323.142339 
   211             10                  74           1292.595989     8311.630590     8313.915076 
   212             10                  74           1679.532347     8295.549681     8297.829824 
   213             10                  74           1749.508195     8292.527120     8294.806446 
   214             10                  74           1843.352539     8288.414222     8290.692437 
   215             10                  74           2108.513955     8276.242961     8278.517886 
   216             10                  74           2125.994002     8275.626506     8277.901264 
   217             10                  74           2433.806730     8261.014244     8263.285053 
   218             10                  74           2464.615229     8259.510948     8261.781350 
   219             10                  74           2584.002602     8253.615523     8255.884332 
   220             10                  74           2608.470351     8252.393524     8254.662002 
   221             10                  74           3274.139588     8217.226337     8219.485311 
   222             10                  74           3329.177375     8214.147185     8216.405327 
   223             10                  74           3446.769229     8207.478411     8209.734750 
   224             10                  74           3539.129557     8202.146809     8204.401707 
   225             10                  74           3795.745398     8186.911262     8189.162044 
   226             11                  75            861.274181     8217.226337     8219.485311 
   227             11                  75            944.625369     8214.147185     8216.405327 
   228             11                  75           1120.972286     8207.478411     8209.734750 
   229             11                  75           1257.931426     8202.146809     8204.401707 
   230             11                  75           1351.328286     8198.441996     8200.695893 
   231             11                  75           1536.871835     8190.884825     8193.136680 
   232             11                  75           1632.131647     8186.911262     8189.162044 
   233             11                  75           1859.047302     8177.178768     8179.426919 
   234             11                  75           2025.781635     8169.786443     8172.032596 
   235             11                  75           2099.652437     8166.447668     8168.692919 
   236             11                  75           2172.337055     8163.120952     8165.365305 
   237             11                  75           2195.389870     8162.058607     8164.302672 
   238             11                  75           2245.562300     8159.727615     8161.971051 
   239             11                  75           2456.957611     8149.702097     8151.942823 
   240             11                  75           2591.722045     8143.137909     8145.376862 
   241             11                  75           2657.054568     8139.903124     8142.141202 
   242             11                  75           2696.422480     8137.936246     8140.173793 
   243             11                  75           2864.390335     8129.405086     8131.640328 
   244             11                  75           3514.545554     8094.055396     8096.281104 
   245             11                  75           3547.494350     8092.237307     8094.462507 
   246             11                  75           3668.455687     8085.218964     8087.442267 
   247             11                  75           3829.563783     8075.651782     8077.872500 
   248             12                  76            265.877106     8129.405086     8131.640328 
   249             12                  76            469.587846     8122.723329     8124.956765 
   250             12                  76           1260.212835     8094.055396     8096.281104 
   251             12                  76           1308.205858     8092.237307     8094.462507 
   252             12                  76           1484.295679     8085.218964     8087.442267 
   253             12                  76           1715.914818     8075.651782     8077.872500 
   254             12                  76           2017.295503     8062.630368     8064.847568 
   255             12                  76           2197.300785     8054.535448     8056.750461 
   256             12                  76           2223.679049     8053.307955     8055.522658 
   257             12                  76           2282.005581     8050.647986     8052.861949 
   258             12                  76           2374.743310     8046.116362     8048.329122 
   259             12                  76           2568.299680     8037.217764     8039.428121 
   260             12                  76           2663.480586     8032.431249     8034.640291 
   261             12                  76           2798.227461     8025.727026     8027.934257 
   262             12                  76           2826.793641     8024.253002     8026.459835 
   263             12                  76           3404.956718     7993.680797     7995.879372 
   264             12                  76           3450.757356     7991.365442     7993.563391 
   265             12                  76           3506.880142     7987.973076     7990.170109 
   266             12                  76           3747.458135     7974.159111     7976.352412 
   267             12                  76           3774.075610     7972.595942     7974.788822 
   268             13                  77             60.108433     8030.200402     8032.408842 
   269             13                  77            205.181120     8025.727026     8027.934257 
   270             13                  77            250.927916     8024.253002     8026.459835 
   271             13                  77           1136.253543     7993.680797     7995.879372 
   272             13                  77           1176.742814     7992.158716     7994.356879 
   273             13                  77           1197.440769     7991.365442     7993.563391 
   274             13                  77           1285.802211     7987.973076     7990.170109 
   275             13                  77           1446.929506     7981.677181     7983.872514 
   276             13                  77           1633.221726     7974.159111     7976.352412 
   277             13                  77           1671.251224     7972.595942     7974.788822 
   278             13                  77           1727.659997     7970.253705     7972.445951 
   279             13                  77           1922.810770     7961.983123     7964.173135 
   280             13                  77           2042.267563     7956.973426     7959.162112 
   281             13                  77           2092.026514     7954.592217     7956.780234 
   282             13                  77           2375.749600     7941.725859     7943.910400 
   283             13                  77           2461.277016     7937.733470     7939.916934 
   284             13                  77           2726.391924     7924.991405     7927.171427 
   285             13                  77           2897.783405     7916.441468     7918.619210 
   286             13                  77           3209.655993     7900.319926     7902.493285 
   287             13                  77           3222.663941     7899.622869     7901.796036 
   288             13                  77           3379.005923     7891.074479     7893.245372 
   289             13                  77           3468.745479     7886.282980     7888.452548 
   290             13                  77           3825.457611     7865.969770     7868.133853 
   291             13                  77           3858.551819     7864.021806     7866.185363 
   292             13                  77           3896.406490     7861.909446     7864.072403 
   293             14                  78            406.916375     7916.441468     7918.619210 
   294             14                  78            884.094170     7900.319926     7902.493285 
   295             14                  78            903.732579     7899.622869     7901.796036 
   296             14                  78           1135.268583     7891.074479     7893.245372 
   297             14                  78           1266.643508     7886.282980     7888.452548 
   298             14                  78           1736.369188     7867.688297     7869.852844 
   299             14                  78           1777.823532     7865.969770     7868.133853 
   300             14                  78           1824.576975     7864.021806     7866.185363 
   301             14                  78           2185.467682     7848.454642     7850.613995 
   302             14                  78           2206.044431     7847.539388     7849.698495 
   303             14                  78           2323.244760     7842.265566     7844.423248 
   304             14                  78           2333.600212     7841.791042     7843.948596 
   305             14                  78           2449.619004     7836.459704     7838.615818 
   306             14                  78           2467.672236     7835.620881     7837.776769 
   307             14                  78           2492.649350     7834.457746     7836.613320 
   308             14                  78           2745.844861     7822.387696     7824.540011 
   309             14                  78           2840.062663     7817.769853     7819.920922 
   310             14                  78           2872.789570     7816.153359     7818.303991 
   311             14                  78           2907.587547     7814.322428     7816.472539 
   312             14                  78           2916.479086     7813.972856     7816.122895 
   313             14                  78           2926.413085     7813.476036     7815.625945 
   314             14                  78           3037.260688     7807.875886     7810.024283 
   315             14                  78           3102.425753     7804.530006     7806.677499 
   316             14                  78           3279.390148     7795.418454     7797.563463 
   317             14                  78           3398.170256     7788.934115     7791.077398 
   318             14                  78           3519.481529     7782.316513     7784.458010 
   319             14                  78           3704.879582     7771.946753     7774.085450 
   320             15                  79            358.763092     7817.769853     7819.920922 
   321             15                  79            464.550786     7814.322428     7816.472539 
   322             15                  79            477.795281     7813.972856     7816.122895 
   323             15                  79            663.157790     7807.875886     7810.024283 
   324             15                  79            761.940574     7804.530006     7806.677499 
   325             15                  79           1021.561229     7795.418454     7797.563463 
   326             15                  79           1199.790171     7788.934115     7791.077398 
   327             15                  79           1375.513068     7782.316513     7784.458010 
   328             15                  79           1474.616284     7778.492192     7780.632656 
   329             15                  79           1521.256980     7776.672664     7778.812636 
   330             15                  79           1640.397141     7771.946753     7774.085450 
   331             15                  79           1866.021820     7762.731966     7764.868175 
   332             15                  79           1890.402051     7761.713300     7763.849234 
   333             15                  79           2331.897724     7742.562810     7744.693574 
   334             15                  79           2568.107661     7731.738494     7733.866337 
   335             15                  79           2627.476607     7728.950948     7731.078038 
   336             15                  79           2937.955947     7713.937717     7716.060754 
   337             15                  79           2970.968248     7712.404926     7714.527549 
   338             15                  79           2994.412181     7711.124803     7713.247081 
   339             15                  79           3011.537024     7710.269186     7712.391234 
   340             15                  79           3115.468220     7704.816383     7706.936941 
   341             15                  79           3141.444789     7703.684970     7705.805240 
   342             15                  79           3191.571012     7701.108035     7703.227610 
