 line number   order_number   physical_order_number     pixel       air_ref_wl[A]   vac_ref_wl[A]   air_model_wl[A]   vac_model_wl[A]   air_resid[A]   vac_resid[A] 
   143              6                  70           2450.357883     8732.423947     8734.822231     8732.419958       8734.818239       0.003989       0.003992
   144              6                  70           2604.478129     8724.376040     8726.772147     8724.373471       8726.769576       0.002569       0.002571
   145              6                  70           2616.816893     8723.717666     8726.113595     8723.720622       8726.116550      -0.002956      -0.002955
   146              6                  70           2640.560969     8722.457684     8724.853272     8722.460671       8724.856259      -0.002987      -0.002987
   147              6                  70           2655.529106     8721.659442     8724.054814     8721.663936       8724.059308      -0.004494      -0.004494
   148              6                  70           2693.650759     8719.628959     8722.023782     8719.626112       8722.020933       0.002847       0.002849
   149              6                  70           2863.125892     8710.414148     8712.806478     8710.414466       8712.806795      -0.000318      -0.000317
   150              6                  70           2884.536027     8709.234029     8711.626039     8709.232841       8711.624851       0.001188       0.001188
   151              6                  70           2918.360868     8707.359106     8709.750609     8707.357764       8709.749266       0.001342       0.001343
   152              6                  70           2963.149984     8704.860087     8707.250914     8704.859178       8707.250004       0.000909       0.000910
   153              6                  70           2983.781306     8703.702461     8706.092975     8703.702193       8706.092707       0.000268       0.000268
   154              6                  70           3169.937277     8693.088527     8695.476147     8693.087416       8695.475057       0.001111       0.001090
   155              6                  70           3259.812347     8687.847928     8690.234153     8687.847577       8690.233799       0.000351       0.000354
   156              6                  70           3418.465214     8678.407764     8680.791414     8678.409898       8680.793565      -0.002134      -0.002151
   157              7                  71             53.272967     8709.234029     8711.626039     8709.230920       8711.622930       0.003109       0.003109
   158              7                  71            663.067849     8687.847928     8690.234153     8687.845857       8690.232080       0.002071       0.002073
   159              7                  71            910.476420     8678.407764     8680.791414     8678.408725       8680.792393      -0.000961      -0.000979
   160              7                  71           1613.320225     8649.148977     8651.524733     8649.147239       8651.522993       0.001738       0.001740
   161              7                  71           1699.440819     8645.308606     8647.683324     8645.307274       8647.681989       0.001332       0.001335
   162              7                  71           1828.617924     8639.441589     8641.814720     8639.441233       8641.814362       0.000356       0.000358
   163              7                  71           1852.134528     8638.362204     8640.735043     8638.359524       8640.732360       0.002680       0.002683
   164              7                  71           2002.229173     8631.356458     8633.727402     8631.354583       8633.725525       0.001875       0.001877
   165              7                  71           2048.940108     8629.141440     8631.511785     8629.138748       8631.509090       0.002692       0.002695
   166              7                  71           2160.021814     8623.801422     8626.170322     8623.800406       8626.169304       0.001016       0.001018
   167              7                  71           2210.931791     8621.322470     8623.690700     8621.321133       8623.689361       0.001337       0.001339
   168              7                  71           2228.522635     8620.459617     8622.827596     8620.459675       8622.827669      -0.000058      -0.000073
   169              7                  71           2314.348873     8616.221875     8618.588726     8616.221051       8618.587899       0.000824       0.000827
   170              7                  71           2520.905584     8605.775647     8608.139655     8605.775340       8608.139364       0.000307       0.000291
   171              7                  71           2555.003877     8604.016589     8606.380139     8604.017283       8606.380831      -0.000694      -0.000692
   172              7                  71           2636.967739     8599.755287     8602.117683     8599.751749       8602.114143       0.003538       0.003540
   173              7                  71           2762.368024     8593.108838     8595.469436     8593.116237       8595.476837      -0.007399      -0.007401
   174              7                  71           2786.268062     8591.838671     8594.198926     8591.836382       8594.196635       0.002289       0.002291
   175              7                  71           3051.904466     8577.276762     8579.633078     8577.276696       8579.633012       0.000066       0.000066
   176              7                  71           3086.630077     8575.330448     8577.686239     8575.327133       8577.682921       0.003315       0.003318
   177              7                  71           3125.722092     8573.120489     8575.475681     8573.119384       8575.474575       0.001105       0.001106
   178              7                  71           3211.860500     8568.208713     8570.562577     8568.205403       8570.559265       0.003310       0.003312
   179              7                  71           3379.534509     8558.446353     8560.797577     8558.442079       8560.793298       0.004274       0.004279
